scope,check,n,min_slack,tol,passed,max_fraction_of_bound
ctrl12:H2,fs_angle,25,0.03472335392453137,1e-09,1,
ctrl12:H2,trajectory_certificate,62,0.0008939771335023661,2.6834955469142515e-14,1,
ctrl13,polytope,60,0.0009753841530021345,1e-12,1,
ctrl13,lipschitz_pairs,30,0.000720944665801707,1e-12,1,
ctrl13,tv_slope,181,2.6113118658932377,1e-09,1,0.13817267510030826
ctrl13:H0,constant_margin,101,1.5836776334765545e-11,2e-06,1,
ctrl13:H0,fs_angle,25,0.03570778202383035,1e-09,1,
ctrl13:H0,trajectory_certificate,62,0.0007790229983286601,2.669621908832692e-14,1,
ctrl13:H1,constant_margin,101,1.314093278637074e-11,2e-06,1,
ctrl13:H1,fs_angle,25,0.03632195203899925,1e-09,1,
ctrl13:H1,trajectory_certificate,62,0.0008690853759133477,2.669621908832692e-14,1,
ctrl13:H2,constant_margin,101,1.1949885525552872e-11,2e-06,1,
ctrl13:H2,fs_angle,25,0.03651983692328906,1e-09,1,
ctrl13:H2,trajectory_certificate,62,0.0008854869352714623,2.669621908832692e-14,1,
ctrl14,polytope,60,0.0009688292536854659,1e-12,1,
ctrl14,lipschitz_pairs,30,0.0007617218737653575,1e-12,1,
ctrl14,tv_slope,188,3.03281135696279,1e-09,1,0.10878830158659004
ctrl14:H0,constant_margin,101,9.904299602681021e-13,2e-06,1,
ctrl14:H0,fs_angle,25,0.036881401783754784,1e-09,1,
ctrl14:H0,trajectory_certificate,62,0.0008581135329145395,2.8228069885366037e-14,1,
ctrl14:H1,constant_margin,101,8.535394613318203e-12,2e-06,1,
ctrl14:H1,fs_angle,25,0.035597682319790276,1e-09,1,
ctrl14:H1,trajectory_certificate,62,0.000874518900459309,2.8228069885366037e-14,1,
ctrl14:H2,constant_margin,101,1.5277223930354467e-11,2e-06,1,
ctrl14:H2,fs_angle,25,0.037261338806085134,1e-09,1,
ctrl14:H2,trajectory_certificate,62,0.0008959233077941997,2.8228069885366037e-14,1,
ctrl15,polytope,60,0.0009781896043581373,1e-12,1,
ctrl15,lipschitz_pairs,30,0.0007240671433698052,1e-12,1,
ctrl15,tv_slope,184,2.953736627792109,1e-09,1,0.12799201870979843
ctrl15:H0,constant_margin,101,1.0602296818262857e-11,2e-06,1,
ctrl15:H0,fs_angle,25,0.037076023449392544,1e-09,1,
ctrl15:H0,trajectory_certificate,62,0.0008389458283578621,2.7151241479426372e-14,1,
ctrl15:H1,constant_margin,101,1.6907364397411584e-11,2e-06,1,
ctrl15:H1,fs_angle,25,0.033779589516677276,1e-09,1,
ctrl15:H1,trajectory_certificate,62,0.0008719534271597329,2.7151241479426372e-14,1,
ctrl15:H2,constant_margin,101,5.2265969330278494e-12,2e-06,1,
ctrl15:H2,fs_angle,25,0.03517662393268564,1e-09,1,
ctrl15:H2,trajectory_certificate,62,0.0008644889156674829,2.7151241479426372e-14,1,
ctrl16,polytope,60,0.0009755831987512398,1e-12,1,
ctrl16,lipschitz_pairs,30,0.0008011047049479071,1e-12,1,
ctrl16,tv_slope,179,2.5145831894664092,1e-09,1,0.13251945729725612
ctrl16:H0,constant_margin,101,1.005695526856698e-11,2e-06,1,
ctrl16:H0,fs_angle,25,0.03689056476798698,1e-09,1,
ctrl16:H0,trajectory_certificate,62,0.0008505036591854864,2.80874978936427e-14,1,
ctrl16:H1,constant_margin,101,1.2746914634931272e-11,2e-06,1,
ctrl16:H1,fs_angle,25,0.03567612371820148,1e-09,1,
ctrl16:H1,trajectory_certificate,62,0.000825398998738236,2.80874978936427e-14,1,
ctrl16:H2,constant_margin,101,2.581712621463339e-12,2e-06,1,
ctrl16:H2,fs_angle,25,0.03431661732674063,1e-09,1,
ctrl16:H2,trajectory_certificate,62,0.0008707945197952149,2.80874978936427e-14,1,
ctrl17,polytope,60,0.0009661996577710052,1e-12,1,
ctrl17,lipschitz_pairs,30,0.0006233350143738707,1e-12,1,
ctrl17,tv_slope,187,3.42312455882987,1e-09,1,0.1115949556429288
ctrl17:H0,constant_margin,101,5.88418203051333e-13,2e-06,1,
ctrl17:H0,fs_angle,25,0.03661024876396029,1e-09,1,
ctrl17:H0,trajectory_certificate,62,0.0008183500959595413,3.1717557608899065e-14,1,
ctrl17:H1,constant_margin,101,5.154321414124752e-12,2e-06,1,
ctrl17:H1,fs_angle,25,0.03496378324008723,1e-09,1,
ctrl17:H1,trajectory_certificate,62,0.0008592781861972432,3.1717557608899065e-14,1,
ctrl17:H2,constant_margin,101,1.996292020578494e-12,2e-06,1,
ctrl17:H2,fs_angle,25,0.035747401731136115,1e-09,1,
ctrl17:H2,trajectory_certificate,62,0.0008842059106272115,3.1717557608899065e-14,1,
ctrl18,polytope,60,0.0009750866284915505,1e-12,1,
ctrl18,lipschitz_pairs,30,0.0007596265159083939,1e-12,1,
ctrl18,tv_slope,186,2.7461188459839683,1e-09,1,0.10836981855383375
ctrl18:H0,constant_margin,101,1.4641066137244252e-11,2e-06,1,
ctrl18:H0,fs_angle,25,0.037027367188729565,1e-09,1,
ctrl18:H0,trajectory_certificate,62,0.0008516056133446304,2.7538720599300475e-14,1,
ctrl18:H1,constant_margin,101,2.8677060726067793e-12,2e-06,1,
ctrl18:H1,fs_angle,25,0.03310943280836595,1e-09,1,
ctrl18:H1,trajectory_certificate,62,0.0008552643286744432,2.7538720599300475e-14,1,
ctrl18:H2,constant_margin,101,2.58792987040124e-13,2e-06,1,
ctrl18:H2,fs_angle,25,0.0364757038984839,1e-09,1,
ctrl18:H2,trajectory_certificate,62,0.0008731292064071416,2.7538720599300475e-14,1,
ctrl19,polytope,60,0.0009686887821912515,1e-12,1,
ctrl19,lipschitz_pairs,30,0.0006302779023803834,1e-12,1,
ctrl19,tv_slope,189,2.8588897828869064,1e-09,1,0.10612565735001936
ctrl19:H0,constant_margin,101,1.7527090889757346e-11,2e-06,1,
ctrl19:H0,fs_angle,25,0.036393788213799724,1e-09,1,
ctrl19:H0,trajectory_certificate,62,0.0008575478494564637,2.8072249552909882e-14,1,
ctrl19:H1,constant_margin,101,8.073541835074138e-12,2e-06,1,
ctrl19:H1,fs_angle,25,0.035692859883557804,1e-09,1,
ctrl19:H1,trajectory_certificate,62,0.0008896491885481694,2.8072249552909882e-14,1,
ctrl19:H2,constant_margin,101,1.798627913274231e-11,2e-06,1,
ctrl19:H2,fs_angle,25,0.035898234568754545,1e-09,1,
ctrl19:H2,trajectory_certificate,62,0.0008906798525932791,2.8072249552909882e-14,1,
ctrl20,polytope,60,0.0009585303356616226,1e-12,1,
ctrl20,lipschitz_pairs,30,0.0007585322122986549,1e-12,1,
ctrl20,tv_slope,186,2.4283723604003327,1e-09,1,0.12385696016193803
ctrl20:H0,constant_margin,101,1.3516521235601431e-11,2e-06,1,
ctrl20:H0,fs_angle,25,0.03531001702110917,1e-09,1,
ctrl20:H0,trajectory_certificate,62,0.0007980954355212289,2.942939894999375e-14,1,
ctrl20:H1,constant_margin,101,1.752420430989332e-11,2e-06,1,
ctrl20:H1,fs_angle,25,0.034813356262763565,1e-09,1,
ctrl20:H1,trajectory_certificate,62,0.0008913696368972879,2.942939894999375e-14,1,
ctrl20:H2,constant_margin,101,1.1781797759624624e-11,2e-06,1,
ctrl20:H2,fs_angle,25,0.03580931626340442,1e-09,1,
ctrl20:H2,trajectory_certificate,62,0.0008989150946071556,2.942939894999375e-14,1,
ctrl21,polytope,60,0.0009757061216537632,1e-12,1,
ctrl21,lipschitz_pairs,30,0.0007708981756319764,1e-12,1,
ctrl21,tv_slope,180,3.226058619118657,1e-09,1,0.12260070550587991
ctrl21:H0,constant_margin,101,2.187916514628796e-12,2e-06,1,
ctrl21:H0,fs_angle,25,0.035901551501702635,1e-09,1,
ctrl21:H0,trajectory_certificate,62,0.0008412243958720866,2.8533693989278973e-14,1,
ctrl21:H1,constant_margin,101,9.748202245418724e-12,2e-06,1,
ctrl21:H1,fs_angle,25,0.0336549051878487,1e-09,1,
ctrl21:H1,trajectory_certificate,62,0.0008701849767200898,2.8533693989278973e-14,1,
ctrl21:H2,constant_margin,101,1.8696599823897486e-11,2e-06,1,
ctrl21:H2,fs_angle,25,0.034544942655070104,1e-09,1,
ctrl21:H2,trajectory_certificate,62,0.0008737492340108455,2.8533693989278973e-14,1,
ctrl22,polytope,60,0.0009648124710120998,1e-12,1,
