controller,fid,err,M_H0,Mm_H0,Mp_H0,zeta_H0,M_H1,Mm_H1,Mp_H1,zeta_H1,M_H2,Mm_H2,Mp_H2,zeta_H2
33,0.9999807199896826,1.92800103173685e-05,0.006093758684936748,0.0062412266756090035,0.006093758684936748,-0.003541520400506119,0.008922404550911353,0.008922404550911353,0.00894629941288809,-0.0003097850085997083,0.006996901084099871,0.007038546910197693,0.006996901084099871,-0.0007587465470317947
34,0.9999804245786236,1.95754213764276e-05,0.0058094383946940276,0.0058094383946940276,0.006361281865517212,0.014756288383694667,0.008693138383393594,0.008743850785223137,0.008693138383393594,-5.8219730521336897e-05,0.01437483948421853,0.014402853948805746,0.01437483948421853,0.0002152484355042026
35,0.9999789260363197,2.10739636803403e-05,0.005872933740021149,0.005919105797734649,0.005872933740021149,-0.0018206688809180099,0.00863473323969497,0.00863473323969497,0.008680573530790204,0.00022207635280868868,0.008320137172449053,0.008320137172449053,0.008357446273496235,-1.7096462608332277e-05
36,0.99997863981606,2.13601839399447e-05,0.006441884058470024,0.006441884058470024,0.006490483876973294,0.001060586367320453,0.01113388831559028,0.011145468284048072,0.01113388831559028,-3.5995179367732076e-05,0.008252966816662776,0.008341628175060395,0.008252966816662776,-0.00016046833484523008
37,0.9999782017135218,2.17982864781918e-05,0.004942599767848934,0.005293735076544306,0.004942599767848934,-0.013316730392816736,0.0065108572679245125,0.006515309679692291,0.0065108572679245125,0.0001567431813349214,0.01027462111061293,0.01027462111061293,0.010292225385624592,2.4896042356781263e-05
38,0.9999775387838377,2.24612161623394e-05,0.0057671573107946125,0.0057671573107946125,0.005804342033712034,0.0010364975023742548,0.009390536760310396,0.009390536760310396,0.009477728820798666,0.0005545722547820722,0.009759758510098714,0.009759758510098714,0.00983014895064896,0.00025213872418133854
39,0.9999744085017265,2.5591498273525e-05,0.005073766551005525,0.005073766551005525,0.005401937758131723,0.011271513510839284,0.01119954567789197,0.01119954567789197,0.01121753500446108,-7.778496617419677e-05,0.008116325998928715,0.00813365409553232,0.008116325998928715,-0.00013852215404966395
40,0.9999742592136068,2.57407863931691e-05,0.005371246372767884,0.005546674415604027,0.005371246372767884,-0.0073375956551307575,0.008684652656333915,0.00869019978019317,0.008684652656333915,-3.5948737957039174e-06,0.012715932519221325,0.012715932519221325,0.012731138849201195,-0.00020902726373887482
41,0.9999724444277631,2.75555722368814e-05,0.005776935346392521,0.005776935346392521,0.006111721531154492,0.009254856970393431,0.009123928783440696,0.009123928783440696,0.009167780785601223,0.00015484850960437803,0.01108325752536336,0.01108325752536336,0.011236647831415755,0.0007931939001206318
42,0.9999710122751596,2.89877248403902e-05,0.005102945880714199,0.005102945880714199,0.005269982961924099,0.005637543866641707,0.009095656825786703,0.009116746651058997,0.009095656825786703,-0.00018345236209138183,0.0076285890078674895,0.007639324688155154,0.0076285890078674895,0.00013237568998841404
43,0.999969510522715,3.04894772850117e-05,0.006038155575483883,0.006038155575483883,0.006462970335873151,0.009572645498956242,0.011386004813743628,0.011386004813743628,0.011405234393141608,-6.642334460667329e-05,0.007481806880123055,0.007481806880123055,0.007490613276196982,2.116706131182087e-05
44,0.9999564152856523,4.3584714347733e-05,0.0062682327905080205,0.0062682327905080205,0.0064174427592617,0.0026233929021626193,0.006547446871427286,0.0065924634865858105,0.006547446871427286,3.062293903127746e-05,0.00742454176018416,0.007431383702650845,0.00742454176018416,-2.6720608886913452e-05
45,0.9999550715123738,4.49284876261613e-05,0.005837939406743927,0.0060063046869281555,0.005837939406743927,-0.0053491877433673955,0.008402734347622572,0.008402734347622572,0.008429808821899365,-0.00017940163598034658,0.007391344990885174,0.007432055343849827,0.007391344990885174,-0.0006625734609525824
46,0.9999470205626795,5.29794373205217e-05,0.00612141885346541,0.00612141885346541,0.00632114443638873,0.004484176690744274,0.009252166825900852,0.009276745266510232,0.009252166825900852,-5.012013181064443e-05,0.010009033317956585,0.010034766473861792,0.010009033317956585,-4.8159720142545576e-05
47,0.9999444525464534,5.55474535466338e-05,0.006398930967095593,0.006398930967095593,0.006640214685243396,0.00498672158430518,0.006356871544403579,0.0063653727471625135,0.006356871544403579,-0.000366776526292707,0.011399911353296781,0.011399911353296781,0.01143590745774256,0.00014017061116666595
48,0.9999438611998864,5.61388001135699e-05,0.00574345795651812,0.00574345795651812,0.0060540628058632735,0.00800527993182723,0.009699654810091878,0.009699654810091878,0.009792079331058693,0.0006083098698630367,0.007438820805642574,0.007440061824895483,0.007438820805642574,0.0005285925541951448
49,0.9999436897848124,5.63102151875938e-05,0.005651725294874859,0.005651725294874859,0.006100169186046927,0.012000134851835377,0.008949532419322637,0.00895690600622768,0.008949532419322637,0.00010384955832243916,0.012407295877559388,0.012407295877559388,0.01241345107758977,4.38730753104622e-05
50,0.9999403929265362,5.96070734637522e-05,0.005185501704259984,0.005185501704259984,0.005566759862616649,0.012305475229096053,0.008211861103283816,0.008222481677282133,0.008211861103283816,2.2273329325490816e-05,0.014924312074410246,0.015066567345751018,0.014924312074410246,-6.005355501473434e-05
