kind,seed,err,fid,M_H0,rfs_H0,M_X1,rfs_X1,madv_X1,madvF_X1,M_X2,rfs_X2,madv_X2,madvF_X2,cancel_H0,cancel_X1,cancel_X2,inradius_gauge
robust,20260818,1.593268220001498e-05,0.9999840673177979,0.009916238539927028,0.0030792584423313023,0.020560571037249113,0.004656047533671809,0.01092348565787635,0.9989645662412374,0.030427398486631032,0.004404679072266053,0.0085943362602306,0.998988227363079,8.838952991794837,4.301994033916803,2.8381217837466,0.0017346274521075915
robust,20260819,1.547898482245902e-05,0.999984521015177,0.009427814861095892,0.0030856370201640614,0.019855813639092765,0.0047144822884288146,0.011823277364473148,0.9989662104029449,0.03674100552957345,0.0044239605589617564,0.009009846724989676,0.9989941510424861,9.274823963646021,4.46409705331121,2.3857239866699063,0.0017375273633333463
robust,20260820,1.439825231452918e-05,0.9999856017476833,0.009354441022165441,0.0031012185729461434,0.019074159583103573,0.005646554549258641,0.013771995703495767,0.9989845222249286,0.035891346233931296,0.0039164996011861065,0.007893034339467931,0.9989380072074383,9.320345174242313,4.645584032134504,2.3213290429606515,0.0017351076924271478
robust,20260821,5.105878950417697e-06,0.9999948941210486,0.013430933948451483,0.0032722522130668036,0.033020164978142134,0.005004425760078411,0.009772855775406993,0.9989962989267315,0.03345585032877519,0.006177553002780758,0.012345864873968297,0.9989424909429064,6.471743876375089,2.632638167261541,2.6262552687358416,0.0017606064288832727
robust,20260822,2.177092808874903e-05,0.9999782290719101,0.009628600448700429,0.0030041140613985477,0.02335426248168074,0.0035413818013026815,0.0096117613084672,0.9989752636874926,0.04016665708146497,0.004746160342115121,0.010060882095141162,0.9989625643298287,8.897644887735668,3.743413216415165,2.1121611928635375,0.0016849758966907197
robust,20260823,4.196682226509374e-06,0.9999958033177733,0.014026612535235135,0.003295768436834244,0.03905953448971482,0.005855638608045975,0.012065777155586759,0.9989028713214707,0.04046506412380551,0.005451727333972445,0.012527827419626061,0.9989825784155357,6.206209341958451,2.1974979165937367,2.191200129862005,0.0017637945069139869
robust,20260824,6.962192523385369e-06,0.9999930378074761,0.013898441286578057,0.0032300224041119374,0.0516537710186825,0.007215088658554798,0.013596228140741413,0.9989727506294,0.034142274514769894,0.005904527632556978,0.014189374224343757,0.9989963474894556,6.233860064983836,1.675625061181694,2.566178980527716,0.001762557716002683
robust,20260825,6.257368062034807e-06,0.9999937426319366,0.013316641258595802,0.003245302205529014,0.029890526169718303,0.005691380377336307,0.01118486268598712,0.9989294725823448,0.029114348155297808,0.00504489771390906,0.011692872538494879,0.9989757704057094,6.617284322598543,2.9647840514456463,3.0387887120027846,0.0017625146477008781
robust,20260826,1.642650552313718e-05,0.9999835734944755,0.009500910627379445,0.0030724181093732795,0.0241785627711553,0.0040927630661486865,0.008934177711978896,0.9989564468438329,0.036140118556994665,0.004398007632963111,0.00890581193443751,0.9989997032480459,9.149861358507357,3.6410514909901233,2.388512054945807,0.0017129985583108946
robust,20260827,1.7830614979397197e-05,0.9999821693850212,0.009647932535424867,0.0030535117154367386,0.022851397995910423,0.004029779712837952,0.009564477187390367,0.9989893661620809,0.040853409558894174,0.004927308683061763,0.010625787973139126,0.9989618447823623,9.019890342278336,3.8494785509063325,2.056603838417819,0.0017149440655152286
robust,20260828,8.059099824042626e-06,0.9999919409001746,0.009852169920896143,0.003207707388031957,0.02224528504931355,0.004638485410367767,0.009308651584773158,0.9989823722019041,0.03142528334791006,0.00468191455160481,0.009226340500371633,0.9989911636996367,8.92179400478435,3.9775856814600274,2.7571854256526525,0.0017436773647848262
robust,20260829,5.59694046975423e-06,0.9999944030595298,0.014716349377310388,0.0032604220207497056,0.040460189999275836,0.0052955190518889535,0.010908301700274077,0.9989695334720078,0.040443384567256505,0.005551338359863735,0.009965523756815841,0.9989867047750022,5.896962276600299,2.1747518981560714,2.1846789938726006,0.0017636459790422072
