controller,fid,err,M_H0,Mm_H0,Mp_H0,zeta_H0,M_H1,Mm_H1,Mp_H1,zeta_H1,M_H2,Mm_H2,Mp_H2,zeta_H2
50,0.999940392926536,5.96070734637522e-05,0.00518336947339179,0.00518336947339179,0.0055641594526963,0.0123054752291007,0.00820785255225315,0.00821836649462632,0.00820785255225315,2.22733293287802e-05,0.0149164539373104,0.0150586403268926,0.0149164539373104,-6.0053555015463e-05
51,0.999937700571221,6.22994287786671e-05,0.00601275784882591,0.00601275784882591,0.00666024627087664,0.0143241104338458,0.00916619562832962,0.00916619562832962,0.00920454584530141,-0.00018056090854755,0.012967905519219,0.012967905519219,0.0130624383161507,8.55017804280676e-05
52,0.99993359069787,6.64093021298662e-05,0.00549090790241244,0.00562084949536103,0.00549090790241244,-0.00435332403334678,0.00832431218898399,0.00832431218898399,0.00833185657810466,0.000131033393921164,0.0100681562781546,0.0100851245335153,0.0100681562781546,9.22332320014052e-05
53,0.999933080151785,6.69198482154965e-05,0.00522811821532976,0.00527457217410483,0.00522811821532976,-0.00212695141465398,0.012161585294257,0.0121946943614995,0.012161585294257,9.37693094687236e-06,0.00593051512277792,0.00593051512277792,0.00595149236328687,9.33773211765565e-05
54,0.999922370913833,7.76290861674855e-05,0.00472928746359998,0.00472928746359998,0.00534385865479929,0.0217896948333522,0.00725992151481607,0.00725992151481607,0.00727469712084607,7.69523598165404e-05,0.0107997308930559,0.0108286031118753,0.0107997308930559,-4.41078864097151e-05
55,0.999920694511542,7.93054884584699e-05,0.00528825643813924,0.00528825643813924,0.00555721754738206,0.00819355968640409,0.00683951742020885,0.00691681384206091,0.00683951742020885,-0.000815889382058575,0.0105701315997448,0.010614309707024,0.0105701315997448,-0.000245055520318196
56,0.999919034686296,8.09653137041622e-05,0.00468240941262582,0.00468240941262582,0.00495012938339997,0.0106553583276658,0.0064955531174758,0.00649934729370327,0.0064955531174758,1.06321615407688e-06,0.0174309992277614,0.0174309992277614,0.0174958093141911,-5.91990092441958e-05
57,0.999908415689857,9.15843101433333e-05,0.00534870478786395,0.0056414499124276,0.00534870478786395,-0.00909772346851518,0.00635960206235519,0.00638195872077292,0.00635960206235519,-0.000110382037633961,0.0074923591703235,0.00757093054554979,0.0074923591703235,-0.000128461273283371
58,0.999906984927531,9.30150724688383e-05,0.00538755821547422,0.00557158225454688,0.00538755821547422,-0.00619133040813073,0.00531688231269272,0.00531688231269272,0.0053206770238435,3.89188953453983e-05,0.0086284161957617,0.00870896493473634,0.0086284161957617,-5.82709362630869e-05
59,0.99990372409881,9.62759011902126e-05,0.00430885861464999,0.00430885861464999,0.00506696358111376,0.0315205272155495,0.00966157982934822,0.00970560210453789,0.00966157982934822,3.12921038872875e-05,0.00780956735773974,0.00780956735773974,0.00783101921450037,-1.74227057831312e-05
60,0.99990334470973,9.66552902698092e-05,0.00491976706297666,0.00491976706297666,0.00558226803041214,0.0209773358410458,0.00931771136262189,0.00931771136262189,0.00934625853076924,0.000119129463726277,0.00735655849335049,0.00735655849335049,0.00736153854745797,6.82879283875145e-05
61,0.999900946622872,9.90533771282331e-05,0.00452492516125942,0.00452492516125942,0.00499225489231318,0.0182148887433482,0.0107045276485311,0.0107460562749262,0.0107045276485311,-7.77236243608009e-05,0.00658485859463069,0.00658485859463069,0.00659048115050518,-3.48187863128388e-06
