controller,structure,fid,err,KM,Fmin_m1_grid,Fmin_m105_grid,Fmin_m1_x4,Fmin_m105_x4,Fmin_m1_x16,Fmin_m105_x16,violated,omega_avg_traj,omega_unc_traj,omega_avg_excess
45,H0,0.9999550715123738,4.49284876261613e-05,0.0011352380310845343,0.9999139230927662,0.9999100259926765,0.9999139230927637,0.9999100259926822,0.9999139230927564,0.9999100259927084,0,,,
45,H1,0.9999550715123738,4.49284876261613e-05,0.0013611002933533085,0.9998968785292708,0.9998912224027077,0.9998909997025194,0.999884154197051,0.999890794491742,0.9998840996737336,0,,,
45,H2,0.9999550715123738,4.49284876261613e-05,0.0011291687349918229,0.9998919110057237,0.9998854934620732,0.9998860236891742,0.9998790094898902,0.9998858201359373,0.9998788346280834,0,,,
46,H0,0.9999470205626795,5.29794373205217e-05,0.0011098652634935935,0.999896142905546,0.9998916517320388,0.9998949757719205,0.999890351192525,0.9998949804032421,0.9998903530027641,0,,,
46,H1,0.9999470205626795,5.29794373205217e-05,0.0011734414032085617,0.9998872515587556,0.9998841821993099,0.9998791377103343,0.9998722146860882,0.9998789689183363,0.9998719683642403,0,,,
46,H2,0.9999470205626795,5.29794373205217e-05,0.001227182703643167,0.9998978505203423,0.9998928479631463,0.9998925535711757,0.9998882823593366,0.9998929526038121,0.9998867805635059,0,,,
47,H0,0.9999444525464534,5.55474535466338e-05,0.001102176531383487,0.9999063442326845,0.9999032595297707,0.9999052884008529,0.9999020993784576,0.9999052479058764,0.999902007162976,0,,,
47,H1,0.9999444525464534,5.55474535466338e-05,0.0010014162566389015,0.9998706083000549,0.9998709284652458,0.9998676668212226,0.9998600156479893,0.9998673142025231,0.9998594193167778,0,,,
47,H2,0.9999444525464534,5.55474535466338e-05,0.001368791801068604,0.9998891150349319,0.9998832128517545,0.9998741712416225,0.9998669856967205,0.9998731074000933,0.9998656579291653,0,,,
48,H0,0.9999438611998864,5.61388001135699e-05,0.0011004308591380202,0.9999021477968971,0.9998983338157794,0.9999021477969074,0.9998983338157772,0.9999021477969487,0.9998983338157703,0,,,
48,H1,0.9999438611998864,5.61388001135699e-05,0.0009662837626831963,0.9998896710480147,0.9998842990326047,0.9998787877424977,0.999873958541007,0.99987820935573,0.9998717319197681,0,,,
48,H2,0.9999438611998864,5.61388001135699e-05,0.001001655769381393,0.9998883300473899,0.9998844835785936,0.9998818838294927,0.9998755112363402,0.9998808765501519,0.999874492441064,0,,,
49,H0,0.9999436897848124,5.63102151875938e-05,0.0010999265233568613,0.9998973509750316,0.9998932936688747,0.9998973509750357,0.9998932936688746,0.9998973509750579,0.9998932936688633,0,,,
