controller,structure,fid,err,MB_ind,MB_sys,gamma_ind,gamma_sys,magnus_ok,Fmin_attack
19,H1,0.9999917977476402,8.20225235975691e-06,0.0013240274646369465,0.0027022852422592626,0.35817770909509805,0.10036516215149309,1,nan
19,H2,0.9999917977476402,8.20225235975691e-06,0.0012235350491487484,0.0021136489274912727,0.26348214262937963,0.0827460856627134,1,nan
20,H0,0.9999917792203681,8.22077963191781e-06,0.0013296124542169301,0.002319628924334976,1.0,0.5505681572800489,1,nan
20,H1,0.9999917792203681,8.22077963191781e-06,0.001405980232031429,0.0023001576523865052,0.256046032703876,0.0930424178554499,1,nan
20,H2,0.9999917792203681,8.22077963191781e-06,0.0018092912239988503,0.0041916435339153435,0.4612086169064874,0.1249085315179443,1,nan
21,H0,0.9999914531930443,8.54680695572263e-06,0.001327059106145363,0.0027550413821240587,1.0,0.4509384247785948,1,nan
21,H1,0.9999914531930443,8.54680695572263e-06,0.001252066674997686,0.0022159524017507696,0.3541712523423627,0.14134532500657387,1,nan
21,H2,0.9999914531930443,8.54680695572263e-06,0.0009363492968718752,0.0016919753643721415,0.2676022000017326,0.07287893742369295,1,nan
22,H0,0.9999894111260954,1.05888739045934e-05,0.0013120639410443772,0.0027651547217238896,1.0,0.44336490118104815,1,nan
22,H1,0.9999894111260954,1.05888739045934e-05,0.0019383873023763002,0.003447382989609451,0.32337488071928994,0.11884044550076334,1,nan
22,H2,0.9999894111260954,1.05888739045934e-05,0.0012975375794496268,0.0023830524223737246,0.40455520937729195,0.1642279407713107,1,nan
23,H0,0.9999885827401283,1.14172598717488e-05,0.0013063969625718985,0.002159584274141468,1.0,0.5850321123174836,1,nan
23,H1,0.9999885827401283,1.14172598717488e-05,0.0015484695132079566,0.0030550132816795656,0.36351144905634897,0.11518519887072512,1,nan
23,H2,0.9999885827401283,1.14172598717488e-05,0.0013808175890689862,0.0022854103265278966,0.23220603396571515,0.0719117694876567,1,nan
24,H0,0.9999868239874061,1.3176012593874e-05,0.0012950076640040604,0.0027106324399573736,1.0,0.44735259365678864,1,nan
24,H1,0.9999868239874061,1.3176012593874e-05,0.001570958849870589,0.003113714762389192,0.35822609899234,0.11087873678963116,1,nan
24,H2,0.9999868239874061,1.3176012593874e-05,0.001299497943672347,0.0022557818752537762,0.3008218185857712,0.11063228110056621,1,nan
25,H0,0.9999861964971261,1.38035028739436e-05,0.0012911293892550566,0.002434683086355692,1.0,0.5048774455120275,1,nan
25,H1,0.9999861964971261,1.38035028739436e-05,0.0013397949472196344,0.0026112168967727467,0.3155772616882577,0.0872556990724926,1,nan
25,H2,0.9999861964971261,1.38035028739436e-05,0.0013152182001921193,0.0024640479019773453,0.27390158303160356,0.06896412655774613,1,nan
26,H0,0.9999858955586922,1.41044413077829e-05,0.001289300549698166,0.0022756067188001005,1.0,0.544121862623625,1,nan
26,H1,0.9999858955586922,1.41044413077829e-05,0.0014879576180861704,0.003068618324082899,0.35364586802513903,0.09644273337577912,1,nan
26,H2,0.9999858955586922,1.41044413077829e-05,0.0012250973262846652,0.0023541202292229994,0.3180026523639316,0.09314109902847059,1,nan
27,H0,0.999984918272474,1.50817275259563e-05,0.00128349159154583,0.002772303530390054,1.0,0.4313190443148301,1,nan
27,H1,0.999984918272474,1.50817275259563e-05,0.0014371232996312367,0.0030591510864393556,0.3697005329837535,0.0978131488636077,1,nan
27,H2,0.999984918272474,1.50817275259563e-05,0.0014753814313193962,0.002959042260803807,0.37049611129358256,0.11592974210351688,1,nan
28,H0,0.9999836112575723,1.63887424277087e-05,0.001276007979400306,0.0025600444453340023,1.0,0.47047323855684997,1,nan
28,H1,0.9999836112575723,1.63887424277087e-05,0.001071393388607619,0.0017802391697956314,0.2041596378949391,0.04962629342713868,1,nan
28,H2,0.9999836112575723,1.63887424277087e-05,0.0018095591865192812,0.003970713909373223,0.3847604182007096,0.0987735033685398,1,nan
29,H0,0.9999834265024687,1.65734975312581e-05,0.0012749744267666276,0.002384458024573335,1.0,0.5099592329312519,1,nan
29,H1,0.9999834265024687,1.65734975312581e-05,0.0013038208420815363,0.0022273216050652826,0.26680308383042806,0.09095756555848565,1,nan
29,H2,0.9999834265024687,1.65734975312581e-05,0.0013147515489868328,0.002286127508664994,0.2540974752884074,0.07623189029571034,1,nan
30,H0,0.9999831413238557,1.68586761443157e-05,0.0012733902703982527,0.0027993472764127236,1.0,0.4226274969402644,1,nan
30,H1,0.9999831413238557,1.68586761443157e-05,0.0015103865813068877,0.0024584177285794074,0.2869026255463786,0.12042735432007068,1,nan
30,H2,0.9999831413238557,1.68586761443157e-05,0.0018883081003400809,0.003248130908643493,0.331882076090046,0.13665575475933855,1,nan
31,H0,0.999981994804659,1.80051953410088e-05,0.0012671520394446263,0.0028362541915200696,1.0,0.4137817453999089,1,nan
31,H1,0.999981994804659,1.80051953410088e-05,0.0019679644788887004,0.0038365977834879856,0.39652179270274923,0.14205916731022705,1,nan
31,H2,0.999981994804659,1.80051953410088e-05,0.0011716487315808562,0.002037411946390466,0.29257696260558386,0.10529491253637882,1,nan
32,H0,0.9999807400686458,1.92599313542097e-05,0.0012605473334555664,0.0027556372604082223,1.0,0.4257794120808627,1,nan
32,H1,0.9999807400686458,1.92599313542097e-05,0.00129272832535279,0.0027530489291857107,0.389868631840014,0.11154644548473247,1,nan
32,H2,0.9999807400686458,1.92599313542097e-05,0.0017117319671670454,0.0035900689991605313,0.3544174429120925,0.09359317529069612,1,nan
33,H0,0.9999807199896826,1.92800103173685e-05,0.0012604434086342991,0.0026218005391181677,1.0,0.45146226190395516,1,nan
